"","muni","county","year","area","pop","whitepct","blackpct","aapipct","otherpct","hispanicpct","households","medinc","povpct","lmi","dcamri","dcamrirank","ciprops","totunits","occunits","occpct","ownoct","rentoct","less75own","builtpost2010","built2000_2009","built1990_1999","built1980_1989","built1970_1979","built1960_1969","built1950_1959","built1940_1949","built_pre1939","singledetatched","singleattatched","duplex","triquadplex","units5_9","units10_19","units20more","mobile","boatrv","gas","elec","bottled_tank","fueloil","wood","otherfuels","workers","automobile","transit","taxi","moto","bike","walk","othertransport","workedhome","elecutil","reselec","commelec","induselec","streetelec","totelec","gasutil","resgas","commgas","indusgas","streetgas","totgas","reselecghg","commelecghg","induselecghg","streetelecghg","resgasghg","commgasghg","indusgasghg","streetgasghg","otherheatghg","vehiclesghg","totghg","mpo","lhtruck","shtruck","icbus","lightcommtruck","motorhome","motorcycles","passcars","passtrucks","refusetrucks","schoolbus","sulhtruck","sushtruck","transbus","totvmt","totpass","evs","pctev","commsolar","ressolar","othersolar","totsolar","kwsolar","units4less","totalproj","lifetimerate","commparcels","totalcommproj","lifetimecommrate"
"148","far hills borough","Somerset",2020,4.9,915,0.86,0.01,0.02,0.11,0.12,353,124219,0.07,0,14,480,30,399,353,0.89,0.8,0.2,0,2,33,115,40,24,25,44,9,107,271,83,12,6,1,12,13,1,0,0.51,0.06,0.07,0.33,0.02,0.02,429,0.8,0.06,0,0,0,0.06,0,0.09,"JCPL",7567188,2459780,0,24432,10051400,"PSEG",468253,64777,0,0,533030,1690,549,0,5,2494,345,0,0,1054,5222,11360,"NJTPA","703840.00","175631.00","41594.00","408735.00","15002.00","79835.00","7736266.00","1334887.00","23692.00","52651.00","92942.00","227544.00","32214.00","10924833.00",727,"36","0.0495",6,33,0,39,767.07,330,3,0.01,31,1,"0.03"
"149","farmingdale borough","Monmouth",2020,0.5,1307,0.96,0.01,0,0.03,0.09,514,77917,0.07,0,44,68,37,537,514,0.96,0.57,0.43,0,21,13,19,66,154,71,57,14,122,304,8,48,40,86,38,13,0,0,0.81,0.16,0,0.02,0,0.02,608,0.94,0.02,0,0,0,0.01,0,0.03,"JCPL",5562784,5900381,80075,66336,11609576,"NJNG",402120,210194,0,0,612314,1242,1318,18,15,2142,1120,0,0,58,16086,21997,"NJTPA","2045291.00","510366.00","120867.00","1187744.00","43593.00","231993.00","22480858.00","3879056.00","68846.00","152998.00","270080.00","661223.00","93610.00","31746525.00",900,"15","0.0167",14,144,5,163,5325.44,423,51,0.12,36,10,"0.28"
"150","fieldsboro borough","Burlington",2020,0.4,761,0.58,0.07,0,0.35,0.22,267,77132,0.05,0,26,267,7,280,267,0.95,0.72,0.29,0,6,12,49,8,0,15,48,24,118,206,55,6,0,0,0,13,0,0,0.76,0.11,0,0.12,0,0,349,0.91,0,0,0,0,0.01,0,0.08,"PSEG",1937601,804386,15764104,65538,18571629,"PSEG",142258,30026,1424236,0,1596520,433,180,3520,15,758,160,7586,0,174,2389,15213,"DVRPC","100198.00","41998.00","28311.00","214073.00","9816.00","41660.00","1754924.00","2160388.00","16138.00","31095.00","68593.00","106244.00","12787.00","4586225.00",562,"2","0.0036",1,19,0,20,195.1,244,9,0.04,7,2,"0.29"
"151","flemington borough","Hunterdon",2020,1.1,4601,0.76,0.03,0.08,0.14,0.27,1672,73500,0.14,0,53,41,229,1803,1672,0.93,0.35,0.65,0,20,52,45,155,463,145,330,140,453,672,83,260,238,59,222,269,0,0,0.62,0.18,0.02,0.16,0,0.01,2568,0.71,0.01,0.05,0,0.01,0.06,0.01,0.14,"JCPL",16686354,29990261,869992,192312,47738919,"ETG",1472348,2129042,4598507,0,8199897,3726,6697,194,43,7842,11340,24492,0,1574,54631,110539,"NJTPA","9798235.00","2444975.00","579030.00","5690043.00","208839.00","1111392.00","107697494.00","18583128.00","329816.00","732958.00","1293851.00","3167673.00","448451.00","152085885.00",2617,"40","0.0153",25,343,3,371,24162.17,1428,101,0.07,232,24,"0.1"
"152","florence township","Burlington",2020,10.2,12535,0.78,0.08,0.07,0.07,0.09,4997,95128,0.06,0,27,264,144,5334,4997,0.94,0.8,0.2,0,244,736,653,382,582,277,479,372,1609,2815,1669,203,134,214,59,221,19,0,0.73,0.12,0.01,0.1,0.01,0.03,6813,0.88,0.05,0,0,0,0.01,0.01,0.06,"PSEG",41979936,60704714,19788879,720862,123194391,"PSEG",2967692,1996528,156270,0,5120490,9374,13555,4419,161,15806,10634,832,0,5808,70314,130904,"DVRPC","2949010.00","1236092.00","833260.00","6300570.00","288900.00","1226130.00","51650769.00","63584346.00","474979.00","915188.00","2018829.00","3126951.00","376356.00","134981380.00",9006,"40","0.0044",14,177,4,195,22467.76,4890,318,0.07,139,11,"0.08"
"153","florham park borough","Morris",2020,7.5,11719,0.8,0.06,0.1,0.04,0.11,4254,121200,0.08,0,16,444,223,4439,4254,0.96,0.72,0.29,0,667,395,374,663,450,553,844,227,266,2293,635,36,190,289,248,748,0,0,0.72,0.26,0,0.01,0,0,5867,0.69,0.06,0,0,0,0.05,0,0.19,"JCPL",44216199,127377027,18316271,553692,190463189,"PSEG",4430454,2146577,561434,0,7138464,9873,28443,4090,124,23597,11433,2990,0,299,114647,195497,"NJTPA","14959785.00","3732948.00","884054.00","8687465.00","318852.00","1696856.00","164430764.00","28372414.00","503558.00","1119068.00","1975431.00","4836352.00","684687.00","232202234.00",7275,"79","0.0109",13,31,0,44,5589.19,3246,55,0.02,220,22,"0.1"
"154","folsom borough","Atlantic",2020,8.5,1610,0.92,0.03,0.01,0.05,0.04,569,101250,0.09,0,36,140,65,609,569,0.93,0.94,0.06,0,16,61,33,21,197,106,102,12,61,572,12,16,9,0,0,0,0,0,0.7,0.12,0.01,0.11,0.04,0.01,850,0.92,0,0,0,0,0.02,0,0.06,"ACE",4042155,3931316,1693561,69695,9736727,"SJG",296220,442381,392770,0,1131371,903,878,378,16,1578,2356,2092,0,1601,38698,48499,"SJTPO","1642614.00","809700.00","518432.00","4417626.00","21408.00","576353.00","30007692.00","32977048.00","61366.00","249576.00","957365.00","1817365.00","231404.00","74287956.00",1150,"5","0.0043",3,28,1,32,754.21,619,62,0.1,66,4,"0.06"
"155","fort lee borough","Bergen",2020,2.5,37843,0.49,0.02,0.42,0.06,0.12,17396,88457,0.09,0,23,322,416,18768,17396,0.93,0.58,0.42,0,1209,1046,1258,2569,2955,4149,3382,1196,1004,2654,1264,1559,385,791,531,11511,50,23,0.64,0.26,0.02,0.05,0,0.03,19115,0.59,0.27,0.01,0,0,0.03,0.01,0.09,"PSEG",96024894,171384826,7677066,1619458,276706244,"PSEG",5751407,10780151,108459,0,16640016,21442,38270,1714,362,30633,57417,578,0,6330,105330,262075,"NJTPA","15224715.00","3799056.00","899711.00","8841316.00","324500.00","1726904.00","167342750.00","28874877.00","512476.00","1138886.00","2010414.00","4922000.00","696813.00","236314418.00",21713,"231","0.0106",8,48,3,59,1081.14,6083,79,0.01,414,53,"0.13"
"156","frankford township","Sussex",2020,35.3,5312,0.91,0,0.03,0.06,0.08,1959,92005,0.07,0,26,269,108,2533,1959,0.77,0.86,0.14,0,98,348,84,352,434,264,374,94,485,2335,55,17,4,11,0,17,94,0,0.08,0.11,0.15,0.49,0.12,0.05,2601,0.9,0.01,0,0,0,0.01,0,0.07,"JCPL",17376794,10220340,177095,20784,27795013,"ETG",303672,721246,0,0,1024918,3880,2282,40,5,1617,3841,0,0,20045,24971,56681,"NJTPA","3780249.00","943294.00","223395.00","2195271.00","80572.00","428786.00","41550677.00","7169540.00","127246.00","282782.00","499180.00","1222117.00","173016.00","58676125.00",4193,"19","0.0045",11,23,3,37,10994.33,2352,21,0.01,109,13,"0.12"
"157","franklin borough","Sussex",2020,4.4,4737,0.91,0.02,0.01,0.05,0.11,2243,77672,0.07,0,37,126,141,2532,2243,0.89,0.61,0.39,0,43,214,146,273,348,209,154,132,1013,1277,172,79,213,128,356,145,162,0,0.19,0.07,0.1,0.58,0.02,0.03,2139,0.94,0,0,0,0,0.01,0.02,0.04,"JCPL",18509943,18504923,955593,136553,38107012,"ETG",309015,644275,0,0,953290,4133,4132,213,30,1646,3432,0,0,10918,23301,47805,"NJTPA","4023532.00","1004001.00","237772.00","2336551.00","85758.00","456380.00","44224732.00","7630947.00","135435.00","300981.00","531305.00","1300769.00","184151.00","62452314.00",3564,"8","0.0022",NA,NA,NA,NA,NA,1852,122,0.07,139,21,"0.15"
"158","franklin lakes borough","Bergen",2020,9.9,11044,0.82,0.02,0.07,0.08,0.1,3839,178794,0.01,0,7,554,67,4024,3839,0.95,0.89,0.11,0,153,520,289,852,729,666,500,81,234,3515,118,18,85,53,101,134,0,0,0.85,0.1,0,0.04,0,0,4876,0.74,0.08,0,0,0,0.01,0,0.16,"RECO/PSEG",70940789,44539162,0,141032,115620983,"PSEG",8598490,1429802,8167,0,10036459,15841,9946,0,31,45797,7615,43,0,921,71973,152168,"NJTPA","9854946.00","2459127.00","582381.00","5722976.00","210048.00","1117824.00","108320824.00","18690683.00","331724.00","737200.00","1301340.00","3186007.00","451047.00","152966127.00",8322,"151","0.0181",9,22,0,31,2371.83,3744,37,0.01,66,18,"0.27"
"159","franklin township (gloucester)","Gloucester",2020,56.4,16415,0.85,0.09,0.01,0.05,0.08,5834,82465,0.07,0,34,155,291,6080,5834,0.96,0.87,0.13,0,219,764,659,1077,1362,576,709,381,333,5599,67,128,7,0,0,0,279,0,0.55,0.09,0.05,0.26,0.02,0.02,8118,0.93,0,0,0,0,0.01,0.01,0.04,"ACE",52926324,16552427,1706271,391096,71576118,"SJG",2468057,998302,0,0,3466359,11818,3696,381,87,13145,5317,0,0,15794,73039,123279,"DVRPC","3063315.00","1284003.00","865557.00","6544781.00","300098.00","1273655.00","53652765.00","66048890.00","493389.00","950661.00","2097080.00","3248153.00","390943.00","140213290.00",12255,"45","0.0037",7,510,8,525,7541.44,5761,272,0.05,283,17,"0.06"
"160","franklin township (hunterdon)","Hunterdon",2020,23.2,3404,0.98,0,0.01,0,0.03,1260,128214,0.02,0,15,474,27,1370,1260,0.92,0.87,0.13,0,31,100,136,218,136,140,236,59,314,1237,12,85,10,0,0,0,26,0,0.04,0.01,0.2,0.69,0.04,0,2127,0.8,0.06,0,0,0.01,0.04,0,0.09,"JCPL",16192125,13128968,31022,16644,29368759,"ETG",70858,291390,0,0,362249,3616,2932,7,4,377,1552,0,0,8743,20446,37676,"NJTPA","2461975.00","614342.00","145491.00","1429721.00","52475.00","279256.00","27060841.00","4669329.00","82872.00","184168.00","325102.00","795932.00","112681.00","38214185.00",2825,"26","0.0092",12,171,11,194,15207.81,1353,15,0.01,27,10,"0.37"
"161","franklin township (somerset)","Somerset",2020,46.9,65773,0.41,0.28,0.23,0.09,0.14,25323,93567,0.07,0,24,314,700,27115,25323,0.93,0.7,0.3,0,2161,4385,4292,5934,2718,3496,2647,602,880,12647,5806,652,1323,1464,2333,2879,11,0,0.83,0.11,0.02,0.03,0,0.01,33581,0.8,0.07,0.01,0,0,0.01,0.02,0.08,"PSEG",198418036,529832622,116131733,5174106,849556497,"PSEG",18463989,12815302,2207741,0,33487032,44307,118312,25932,1155,98342,68256,11759,0,5699,322086,695848,"NJTPA","36354776.00","9071689.00","2148398.00","21111993.00","774862.00","4123643.00","399594245.00","68949708.00","1223731.00","2719523.00","4800626.00","11753144.00","1663907.00","564290245.00",42932,"383","0.0089",57,1243,16,1316,32307.79,20513,1078,0.05,704,71,"0.1"
"162","franklin township (warren)","Warren",2020,23.5,3038,0.92,0.01,0.02,0.05,0.04,1147,100254,0.03,0,23,325,58,1238,1147,0.93,0.9,0.1,0,41,114,220,144,85,81,112,52,389,1020,31,51,37,0,0,0,99,0,0.38,0.07,0.06,0.45,0.03,0,1566,0.84,0.01,0,0,0,0.04,0,0.12,"JCPL",13736408,7943673,888931,36768,22605780,"ETG",749063,473072,0,0,1222135,3067,1774,198,8,3990,2520,0,0,5041,9974,26573,"NJTPA","1299963.00","324383.00","76822.00","754916.00","27707.00","147452.00","14288565.00","2465482.00","43758.00","97244.00","171659.00","420265.00","59497.00","20177713.00",2471,"12","0.0049",NA,NA,NA,NA,NA,1082,31,0.03,58,5,"0.09"
"163","fredon township","Sussex",2020,17.9,3172,0.92,0,0.01,0.07,0.04,1087,135074,0.07,0,21,362,41,1211,1087,0.9,0.92,0.08,0,8,174,204,242,209,139,120,17,98,1180,12,0,14,5,0,0,0,0,0.12,0.06,0.22,0.52,0.07,0.02,1569,0.83,0.01,0,0,0,0.01,0,0.15,"JCPL",15305172,3674239,870120,0,19849531,"ETG",127633,86655,0,0,214288,3418,820,194,0,680,462,0,0,8209,10461,24244,"NJTPA","1998383.00","498661.00","118095.00","1160504.00","42594.00","226672.00","21965270.00","3790092.00","67267.00","149489.00","263885.00","646058.00","91463.00","31018433.00",2516,"8","0.0032",NA,5,1,6,104.8,1188,11,0.01,40,6,"0.15"
"164","freehold borough","Monmouth",2020,1.9,11755,0.6,0.13,0.02,0.26,0.47,4193,60038,0.16,1,47,49,279,4466,4193,0.94,0.47,0.54,0,55,393,167,429,844,667,526,434,951,2204,280,582,183,347,50,820,0,0,0.75,0.17,0.02,0.05,0,0.01,5885,0.74,0.1,0,0,0.02,0.04,0.02,0.08,"JCPL",28428008,39591423,54731812,905964,123657207,"NJNG",2688144,9070223,0,0,11758367,6348,8841,12222,202,14317,48309,0,0,1505,42253,133998,"NJTPA","5988205.00","1494251.00","353875.00","3477478.00","127633.00","679229.00","65819479.00","11357106.00","201568.00","447948.00","790739.00","1935929.00","274071.00","92947511.00",5562,"38","0.0068",43,893,8,944,32110.12,3155,295,0.09,269,15,"0.06"
"165","freehold township","Monmouth",2020,38.9,34814,0.82,0.05,0.07,0.06,0.11,12546,115210,0.04,0,21,366,435,13407,12546,0.94,0.8,0.2,0,291,1452,3091,2767,2496,2080,742,139,349,8537,1616,273,394,1151,497,624,315,0,0.86,0.09,0.01,0.04,0,0.01,17095,0.84,0.06,0,0,0,0,0.01,0.08,"JCPL",136650955,165342768,24097990,1234911,327326624,"NJNG",10893370,5486694,0,0,16380064,30514,36921,5381,276,58020,29223,0,0,3261,217594,381190,"NJTPA","30386517.00","7582416.00","1795704.00","17646097.00","647658.00","3446676.00","333993999.00","57630431.00","1022833.00","2273067.00","4012521.00","9823663.00","1390747.00","471652329.00",23664,"128","0.0054",NA,33,1,34,349.41,10452,639,0.06,436,20,"0.05"
"166","frelinghuysen township","Warren",2020,23.9,2085,0.98,0,0.01,0.02,0.06,708,106447,0.07,0,22,356,23,776,708,0.91,0.88,0.12,0,11,60,203,144,61,44,49,10,194,733,0,40,0,0,0,0,3,0,0.01,0.06,0.16,0.6,0.09,0.08,888,0.84,0.01,0,0,0,0.01,0,0.14,"JCPL",9844435,2514336,741550,0,13100321,"ETG",0,0,0,0,0,2198,561,166,0,0,0,0,0,6421,5398,14745,"NJTPA","712926.00","177898.00","42131.00","414011.00","15195.00","80866.00","7836138.00","1352120.00","23998.00","53330.00","94141.00","230482.00","32630.00","11065866.00",1552,"7","0.0045",2,16,0,18,178,825,9,0.01,23,5,"0.22"
"167","frenchtown borough","Hunterdon",2020,1.2,1366,0.93,0,0.03,0.04,0.03,591,79583,0.07,0,33,176,68,614,591,0.96,0.54,0.47,0,8,31,20,0,60,48,48,47,352,310,51,93,72,31,45,3,9,0,0.32,0.3,0.06,0.28,0.01,0.02,713,0.74,0.06,0,0,0.01,0.07,0.01,0.12,"JCPL",6160017,3409975,480560,51528,10102080,"ETG",273677,132226,0,0,405903,1376,761,107,12,1458,704,0,0,1309,5608,11335,"NJTPA","918496.00","229194.00","54279.00","533390.00","19577.00","104183.00","10095666.00","1742000.00","30917.00","68708.00","121287.00","296941.00","42038.00","14256676.00",966,"7","0.0072",8,82,6,96,9678.91,535,32,0.06,66,9,"0.14"
"168","galloway township","Atlantic",2020,111.3,35816,0.73,0.1,0.07,0.1,0.11,12713,76888,0.06,0,33,169,474,14263,12713,0.89,0.78,0.22,0,191,3022,2490,4588,1585,915,519,266,687,9128,1489,154,692,1372,647,721,60,0,0.8,0.12,0.03,0.03,0.01,0.01,17815,0.91,0.02,0,0,0,0.02,0.01,0.04,"ACE",109337034,153716354,563888,631660,264248936,"SJG",8469351,43365099,6141,0,51840591,24415,34325,126,141,45109,230969,33,0,10202,157214,502533,"SJTPO","6673269.00","3289478.00","2106175.00","17947005.00","86973.00","2341485.00","121908963.00","133972241.00","249305.00","1013924.00","3889383.00","7383211.00","940098.00","301801543.00",23127,"72","0.0031",22,1517,22,1561,20709.36,11833,771,0.07,496,23,"0.05"
"169","garfield city","Bergen",2020,2.2,31722,0.8,0.06,0.03,0.12,0.41,11629,64242,0.15,1,45,62,513,12336,11629,0.94,0.45,0.55,0,237,281,180,600,865,1661,2657,1845,4010,2385,725,6224,1299,713,364,590,36,0,0.85,0.08,0.02,0.05,0,0,15825,0.8,0.09,0,0,0,0.04,0.04,0.03,"PSEG",66340735,41740397,17500675,1417609,126999416,"PSEG",7481107,2992100,187848,0,10661056,14814,9321,3908,317,39845,15936,1001,0,3624,100936,189702,"NJTPA","11391339.00","2842506.00","673176.00","6615193.00","242796.00","1292094.00","125208124.00","21604574.00","383440.00","852129.00","1504221.00","3682708.00","521366.00","176813666.00",18049,"44","0.0024",7,191,10,199,7377.98,10764,689,0.06,506,43,"0.09"
"170","garwood borough","Union",2020,0.6,4341,0.83,0.01,0.04,0.12,0.15,1782,90732,0.06,0,23,324,128,1820,1782,0.98,0.57,0.43,0,0,101,20,64,171,151,513,300,500,878,89,464,142,103,22,122,0,0,0.83,0.1,0.01,0.05,0,0.01,2292,0.79,0.1,0,0,0.01,0.04,0,0.05,"PSEG",12873624,13913017,2463973,318909,29569523,"ETG",1801131,971092,0,0,2772223,2875,3107,550,71,9593,5172,0,0,537,21118,43023,"NJTPA","2188472.00","546094.00","129329.00","1270892.00","46645.00","248234.00","24054634.00","4150610.00","73666.00","163709.00","288986.00","707512.00","100163.00","33968946.00",2860,"12","0.0042",2,47,0,49,848.43,1597,70,0.04,129,10,"0.08"
"171","gibbsboro borough","Camden",2020,2.2,2238,0.83,0.01,0.07,0.09,0.11,761,82865,0.06,0,25,286,98,811,761,0.94,0.95,0.05,0,0,22,70,42,102,172,258,75,70,800,5,3,0,3,0,0,0,0,0.9,0.03,0,0.06,0.01,0,943,0.86,0.08,0,0,0,0,0.01,0.05,"ACE",8142819,12934596,196492,157416,21431323,"SJG",640332,978237,591,0,1619160,1818,2888,44,35,3411,5210,3,0,474,14464,28347,"DVRPC","606625.00","254270.00","171405.00","1296056.00","59428.00","252221.00","10624797.00","13079587.00","97705.00","188258.00","415282.00","643228.00","77418.00","27766280.00",1557,"8","0.0051",4,33,1,38,374.87,794,58,0.07,95,3,"0.03"
"172","glassboro borough","Gloucester",2020,9.4,20069,0.67,0.18,0.04,0.1,0.1,6295,72103,0.23,0,44,67,257,7005,6295,0.9,0.64,0.36,0,883,361,1664,875,804,704,784,319,611,4028,854,363,316,199,676,558,11,0,0.83,0.12,0.02,0.02,0,0.01,9305,0.84,0.02,0,0,0,0.06,0.02,0.06,"ACE",57372803,93790674,537979,766747,152468203,"SJG",3874753,10736606,1256233,0,15867593,12811,20944,120,171,20637,57185,6691,0,1317,95290,215166,"DVRPC","3996529.00","1675164.00","1129242.00","8538597.00","391521.00","1661664.00","69997649.00","86170155.00","643696.00","1240272.00","2735938.00","4237676.00","510041.00","182928145.00",11346,"33","0.0029",13,502,13,528,6584.65,5441,680,0.13,262,22,"0.08"
"173","glen gardner borough","Hunterdon",2020,1.5,1554,0.83,0.01,0,0.16,0.21,731,74083,0.05,0,27,258,16,806,731,0.91,0.67,0.34,0,0,9,114,400,33,106,39,6,99,385,58,36,58,50,178,35,6,0,0.62,0.18,0.01,0.16,0.02,0.01,876,0.88,0.03,0,0,0,0,0,0.09,"JCPL",6337984,1154254,1427020,46572,8965830,"ETG",602414,34888,0,0,637302,1415,258,319,10,3209,186,0,0,1478,5702,12577,"NJTPA","735228.00","183463.00","43449.00","426963.00","15671.00","83395.00","8081276.00","1394419.00","24748.00","54999.00","97086.00","237692.00","33650.00","11412039.00",1230,"10","0.0081",3,70,3,76,3160.03,522,57,0.11,16,3,"0.19"
"174","glen ridge borough","Essex",2020,1.3,7583,0.79,0.03,0.06,0.12,0.09,2396,211091,0.05,0,7,555,20,2443,2396,0.98,0.93,0.07,0,0,50,48,58,97,107,139,158,1786,2051,39,92,61,0,11,189,0,0,0.78,0.05,0.01,0.15,0,0.01,3831,0.51,0.33,0,0,0,0.01,0,0.15,"PSEG",26688598,27770327,0,263497,54722422,"PSEG",3207202,1221132,844,187408,4616585,5960,6201,0,59,17082,6504,4,0,2009,12477,50295,"NJTPA","1353903.00","337842.00","80009.00","786240.00","28857.00","153570.00","14881448.00","2567783.00","45573.00","101279.00","178782.00","437703.00","61966.00","21014955.00",4295,"83","0.0193",NA,22,0,22,159.15,2284,89,0.04,20,13,"0.65"
"175","glen rock borough","Bergen",2020,2.7,11747,0.82,0.02,0.12,0.04,0.05,3593,178607,0.03,0,8,549,110,3711,3593,0.97,0.93,0.07,0,122,192,112,176,129,211,1322,350,1097,3376,100,107,33,0,0,95,0,0,0.91,0.06,0.02,0.02,0,0,5364,0.59,0.23,0,0,0,0.02,0,0.16,"PSEG",41931415,20120214,1196086,765856,64013571,"PSEG",4836899,980658,32653,0,5850210,9363,4493,267,171,25762,5223,174,0,614,39878,85946,"NJTPA","4107668.00","1024995.00","242744.00","2385410.00","87551.00","465924.00","45149520.00","7790518.00","138267.00","307275.00","542415.00","1327969.00","188002.00","63758258.00",6767,"98","0.0145",4,51,4,59,2381.22,3796,123,0.03,109,20,"0.18"
"176","gloucester city city","Camden",2020,2.8,11229,0.81,0.05,0.05,0.1,0.13,4349,59984,0.14,1,47,50,273,4663,4349,0.93,0.62,0.38,0,7,179,108,442,292,399,506,345,2385,2218,1261,295,146,47,118,459,119,0,0.71,0.17,0.02,0.09,0,0,5143,0.89,0.02,0,0,0.01,0.04,0.01,0.03,"PSEG",35056337,37716667,290611,1160569,74224184,"PSEG",2528529,1533340,28563,0,4090432,7828,8422,65,259,13467,8167,152,998,2512,42994,84865,"DVRPC","1803208.00","755823.00","509507.00","3852559.00","176652.00","749732.00","31582484.00","38879414.00","290431.00","559603.00","1234438.00","1912012.00","230127.00","82535990.00",6325,"13","0.0021",9,103,3,115,15000.51,3777,938,0.25,267,25,"0.09"
"177","gloucester township","Camden",2020,23.3,63777,0.73,0.18,0.04,0.06,0.08,23419,83562,0.06,0,30,202,618,24896,23419,0.94,0.72,0.28,0,906,2028,4028,3757,6969,3513,2226,645,824,15089,3804,645,557,1265,1533,1722,281,0,0.8,0.13,0.01,0.05,0,0.01,32501,0.86,0.04,0,0,0,0.01,0.01,0.09,"PSEG/ACE",171364714,74322053,7445625,2647864,255780256,"SJG",13246507,29030507,66481,0,42343494,38266,16596,1663,591,70553,154621,354,0,11722,248639,543005,"DVRPC","10428065.00","4370974.00","2946510.00","22279595.00","1021588.00","4335749.00","182643510.00","224842115.00","1679583.00","3236218.00","7138831.00","11057286.00","1330841.00","477310865.00",40581,"125","0.0031",15,1154,10,1170,19664.99,20389,1764,0.09,625,32,"0.05"
"178","green brook township","Somerset",2020,4.4,6927,0.67,0.04,0.23,0.06,0.13,2209,168098,0.07,0,16,454,184,2332,2209,0.95,0.93,0.07,0,0,339,636,188,199,238,503,112,117,1661,171,0,29,279,99,86,7,0,0.92,0.03,0,0.05,0,0.01,3828,0.88,0.04,0,0,0,0,0.01,0.07,"PSEG/JCPL",26042799,24137538,1752040,536583,52468960,"PSEG",2500289,884579,50196,0,3435064,5815,5390,391,120,13317,4711,267,0,564,39108,69684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4790,"42","0.0088",4,66,2,72,1304.41,2061,46,0.02,184,23,"0.13"
"179","green township","Sussex",2020,16.3,3482,0.93,0.04,0,0.03,0.15,1194,147722,0.06,0,19,413,26,1297,1194,0.92,0.94,0.06,0,0,198,274,316,209,115,68,12,105,1279,0,18,0,0,0,0,0,0,0.05,0.12,0.28,0.46,0.02,0.07,1771,0.95,0.01,0,0,0,0.01,0,0.03,"JCPL",18985613,6704948,1783164,2832,27476557,"ETG",0,0,0,0,0,4239,1497,398,1,0,0,0,0,5324,7482,18942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2592,"11","0.0042",3,13,0,16,1367.26,1344,25,0.02,31,2,"0.06"
"180","greenwich township (cumberland)","Cumberland",2020,18.5,457,0.95,0,0,0.05,0.01,200,79750,0.04,0,30,205,7,272,200,0.74,0.81,0.19,1,6,13,6,11,24,15,37,27,133,257,2,5,6,2,0,0,0,0,0.04,0.04,0.15,0.63,0.1,0.04,201,0.97,0.01,0,0,0,0.01,0,0,"ACE",3208779,449736,0,32282,3690797,"SJG",895240,511090,13301,0,1419631,717,100,0,7,4768,2722,71,0,1954,1623,11963,"SJTPO","42604.00","38801.00","59283.00","180419.00","1556.00","35475.00","1165002.00","1407973.00","2956.00","34164.00","42257.00","91810.00","13866.00","3116163.00",413,"1","0.0024",NA,NA,NA,NA,NA,297,11,0.04,7,4,"0.57"
"181","greenwich township (gloucester)","Gloucester",2020,11.7,4816,0.89,0.04,0.02,0.05,0.04,1895,76648,0.09,0,35,147,81,2046,1895,0.93,0.84,0.16,0,10,212,21,138,342,254,511,186,372,1760,39,114,19,18,0,96,0,0,0.54,0.07,0.01,0.34,0,0.04,2275,0.92,0.02,0,0,0,0.02,0,0.04,"ACE",17081101,12473211,7795323,291051,37640686,"SJG",358621,417316,13301,0,789238,3814,2785,1741,65,1910,2223,71,0,3780,28471,44859,"DVRPC","1194079.00","500504.00","337394.00","2551154.00","116978.00","496471.00","20913832.00","25745838.00","192323.00","370567.00","817441.00","1266129.00","152390.00","54655100.00",3494,"6","0.0017",2,303,4,309,3846.56,1971,69,0.04,80,5,"0.06"
"182","greenwich township (warren)","Warren",2020,10.6,5473,0.82,0.07,0.07,0.04,0.05,1840,137152,0.02,0,19,406,62,1872,1840,0.98,0.89,0.12,0,0,290,913,59,242,119,52,25,172,1687,87,24,41,0,0,0,33,0,0.65,0.05,0.01,0.22,0.02,0.04,2977,0.87,0.01,0,0,0,0,0,0.12,"JCPL",20841472,19019273,5402467,64140,45327352,"ETG",2572650,929831,0,0,3502481,4654,4247,1206,14,13702,4952,0,0,4440,15890,49106,"NJTPA","2738322.00","683300.00","161822.00","1590202.00","58365.00","310602.00","30098321.00","5193444.00","92174.00","204840.00","361594.00","885273.00","125329.00","42503588.00",3867,"18","0.0047",3,91,4,98,11291.24,1910,71,0.04,57,8,"0.14"
"183","guttenberg town","Hudson",2020,0.2,11284,0.59,0.04,0.07,0.29,0.68,4634,63189,0.14,1,42,84,209,4980,4634,0.93,0.39,0.61,0,485,442,386,289,1333,520,378,356,791,190,225,944,759,495,718,1635,14,0,0.63,0.32,0.02,0.02,0,0.01,6291,0.47,0.37,0.01,0,0,0.08,0.01,0.07,"PSEG",17563886,30092272,304362,531246,48491766,"PSEG",1335734,1509017,27336,0,2872087,3922,6720,68,119,7114,8037,146,0,1002,13672,40800,"NJTPA","1523270.00","380104.00","90018.00","884595.00","32467.00","172782.00","16743050.00","2889002.00","51275.00","113949.00","201147.00","492458.00","69718.00","23643835.00",4619,"18","0.0039",2,18,0,20,185.87,1963,193,0.1,204,12,"0.06"
