"","muni","county","year","area","pop","whitepct","blackpct","aapipct","otherpct","hispanicpct","households","medinc","povpct","lmi","dcamri","dcamrirank","ciprops","totunits","occunits","occpct","ownoct","rentoct","less75own","builtpost2010","built2000_2009","built1990_1999","built1980_1989","built1970_1979","built1960_1969","built1950_1959","built1940_1949","built_pre1939","singledetatched","singleattatched","duplex","triquadplex","units5_9","units10_19","units20more","mobile","boatrv","gas","elec","bottled_tank","fueloil","wood","otherfuels","workers","automobile","transit","taxi","moto","bike","walk","othertransport","workedhome","elecutil","reselec","commelec","induselec","streetelec","totelec","gasutil","resgas","commgas","indusgas","streetgas","totgas","reselecghg","commelecghg","induselecghg","streetelecghg","resgasghg","commgasghg","indusgasghg","streetgasghg","otherheatghg","vehiclesghg","totghg","mpo","lhtruck","shtruck","icbus","lightcommtruck","motorhome","motorcycles","passcars","passtrucks","refusetrucks","schoolbus","sulhtruck","sushtruck","transbus","totvmt","totpass","evs","pctev","commsolar","ressolar","othersolar","totsolar","kwsolar","units4less","totalproj","lifetimerate","commparcels","totalcommproj","lifetimecommrate"
"23","bass river township","Burlington",2020,78.3,1225,0.86,0,0.01,0.12,0.09,488,71618,0.12,0,46,54,41,540,488,0.9,0.88,0.12,0,2,27,59,85,140,30,25,10,162,471,4,0,0,0,0,0,65,0,0.26,0.23,0.07,0.27,0.05,0.12,643,0.85,0.01,0,0,0,0.02,0.1,0.02,"ACE",5286017,2848749,4876697,64232,13075695,"NJNG",5156719,1804177,0,0,6960896,1180,636,1089,14,27465,9609,0,0,2234,9419,51647,"DVRPC","395025.00","165577.00","111617.00","843973.00","38699.00","164242.00","6918716.00","8517240.00","63624.00","122591.00","270426.00","418861.00","50414.00","18081005.00",1051,"4","0.0038",1,42,0,43,668.1,507,21,0.04,41,3,"0.07"
"24","bay head borough","Ocean",2020,0.7,1050,0.94,0,0.01,0.05,0.03,472,102000,0.03,0,14,492,38,1025,472,0.46,0.83,0.17,1,116,82,58,81,65,63,131,62,367,974,6,24,3,11,4,0,3,0,0.9,0.09,0,0.01,0,0.01,427,0.81,0.04,0.01,0,0.01,0.03,0.04,0.08,"JCPL",10757738,3337019,6324775,33078,20452610,"NJNG",929527,125401,0,0,1054928,2402,745,1412,7,4951,668,0,0,21,3431,13638,"NJTPA","420207.00","104855.00","24832.00","244023.00","8956.00","47663.00","4618712.00","796956.00","14144.00","31434.00","55488.00","135849.00","19232.00","6522351.00",811,"9","0.0111",NA,16,0,16,105.28,986,21,0.02,37,4,"0.11"
"25","bayonne city","Hudson",2020,7.7,65112,0.62,0.1,0.1,0.18,0.35,24784,69511,0.12,0,42,83,1208,27237,24784,0.91,0.41,0.59,0,998,1179,1267,1207,3022,3516,3336,2984,9728,4004,1599,10172,3146,2586,1597,3970,163,0,0.76,0.14,0.03,0.05,0,0.02,30602,0.62,0.25,0.01,0,0,0.06,0.01,0.05,"PSEG",148912425,165732174,28812039,5071339,348527977,"PSEG",14658643,15618095,273327,0,30550065,33252,37008,6434,1132,78074,83184,1456,0,9295,146369,396204,"NJTPA","16604257.00","4143296.00","981234.00","9642443.00","353905.00","1883385.00","182505987.00","31491282.00","558913.00","1242081.00","2192582.00","5367994.00","759953.00","257727312.00",30135,"89","0.003",20,232,13,265,13062.04,18754,2232,0.12,1243,72,"0.06"
"26","beach haven borough","Ocean",2020,2.3,979,0.94,0.01,0.01,0.04,0.04,466,105417,0.09,0,20,391,113,2605,466,0.18,0.9,0.1,1,129,372,143,519,198,546,234,151,313,1643,182,256,112,58,185,161,5,3,0.78,0.18,0.01,0.03,0,0.01,412,0.68,0.03,0,0,0.02,0.1,0.01,0.15,"ACE",35437136,13215476,0,228426,48881038,"NJNG",5735920,798763,0,0,6534683,7913,2951,0,51,30550,4254,0,0,80,3661,49461,"NJTPA","722694.00","180336.00","42708.00","419684.00","15404.00","81974.00","7943509.00","1370647.00","24326.00","54061.00","95431.00","233640.00","33077.00","11217491.00",797,"7","0.0088",1,83,0,84,531.74,2270,15,0.01,118,3,"0.03"
"27","beachwood borough","Ocean",2020,2.8,11274,0.9,0.03,0,0.07,0.12,3992,81658,0.06,0,32,184,79,4164,3992,0.96,0.91,0.1,0,108,136,488,908,1195,527,326,221,255,4048,47,30,34,0,0,0,5,0,0.83,0.05,0,0.11,0,0,5610,0.94,0,0,0,0.01,0,0.01,0.04,"JCPL",36701859,6203946,334574,141936,43382315,"NJNG",3060168,342115,0,0,3402283,8196,1385,75,32,16299,1822,0,0,2435,25241,55484,"NJTPA","3106875.00","775265.00","183602.00","1804229.00","66220.00","352405.00","34149281.00","5892435.00","104580.00","232410.00","410261.00","1004423.00","142198.00","48224184.00",8002,"28","0.0035",2,406,3,411,3675.08,3965,222,0.06,78,6,"0.08"
"28","bedminster township","Somerset",2020,26.4,8042,0.88,0.01,0.06,0.06,0.1,4061,119542,0.07,0,17,433,130,4331,4061,0.94,0.78,0.22,0,36,44,764,2490,138,196,201,75,387,1346,1434,55,165,471,558,302,0,0,0.65,0.18,0.02,0.13,0.01,0,4868,0.85,0.01,0,0,0,0.01,0,0.12,"JCPL",32153525,72077218,476994,40920,104748657,"PSEG",2047687,666524,0,0,2714212,7180,16095,107,9,10906,3550,0,0,5156,62329,105332,"NJTPA","8550336.00","2133584.00","505285.00","4965361.00","182242.00","969846.00","93981185.00","16216388.00","287811.00","639609.00","1129067.00","2764240.00","391336.00","132716290.00",6866,"65","0.0095",7,34,8,49,1255.45,3083,59,0.02,132,10,"0.08"
"29","belleville township","Essex",2020,3.4,36340,0.61,0.1,0.1,0.2,0.48,12871,73039,0.11,0,38,117,581,13945,12871,0.92,0.54,0.46,0,227,269,297,899,1426,1518,2289,1783,5237,5412,564,3501,1395,785,1079,1209,0,0,0.79,0.09,0.02,0.07,0,0.02,18665,0.85,0.08,0,0,0,0.03,0.01,0.04,"PSEG",86045467,70063475,3993499,2294782,162397223,"PSEG",8735957,5057634,252408,0,14045999,19214,15645,892,512,46529,26938,1344,0,6218,105839,223132,"NJTPA","10691511.00","2667878.00","631819.00","6208786.00","227880.00","1212714.00","117515958.00","20277297.00","359885.00","799780.00","1411808.00","3456460.00","489334.00","165951110.00",21413,"52","0.0024",7,361,0,368,2724.71,10173,855,0.08,611,33,"0.05"
"30","bellmawr borough","Camden",2020,3.1,11375,0.78,0.03,0.1,0.08,0.13,4491,60041,0.16,1,44,73,172,4850,4491,0.93,0.6,0.4,0,0,229,79,145,301,1470,1437,781,408,2786,815,186,47,28,493,495,0,0,0.78,0.16,0,0.05,0,0.01,5374,0.89,0.03,0,0,0,0.03,0,0.05,"PSEG",35819381,47550488,15226057,657671,99253597,"PSEG",2572545,3356253,589935,0,6518733,7998,10618,3400,147,13702,17876,3142,0,1144,53592,111620,"DVRPC","2247690.00","942130.00","635098.00","4802197.00","220195.00","934538.00","39367419.00","48463007.00","362021.00","697542.00","1538721.00","2383314.00","286853.00","102880725.00",6953,"22","0.0032",16,287,0,303,5313.6,3914,361,0.09,169,25,"0.15"
"31","belmar borough","Monmouth",2020,1.5,5613,0.9,0.05,0,0.05,0.18,2491,79473,0.11,0,30,214,155,3642,2491,0.68,0.45,0.55,1,105,295,149,194,632,405,634,307,921,1964,293,277,377,101,232,389,9,0,0.74,0.24,0.01,0.01,0,0,3010,0.87,0.04,0.02,0,0.01,0.01,0,0.04,"JCPL",26116057,16119530,474369,210051,42920007,"NJNG",2060301,857897,0,0,2918198,5832,3599,106,47,10973,4569,0,0,260,19699,45085,"NJTPA","2517576.00","628216.00","148777.00","1462010.00","53659.00","285563.00","27671984.00","4774782.00","84743.00","188327.00","332445.00","813907.00","115226.00","39077215.00",3869,"41","0.0106",23,386,1,410,10254.35,2804,175,0.06,147,16,"0.11"
"32","belvidere town","Warren",2020,1.5,2573,0.95,0,0.01,0.04,0.08,1116,85144,0.09,0,44,72,82,1187,1116,0.94,0.53,0.47,0,0,8,66,73,71,71,150,83,665,657,50,261,102,57,9,51,0,0,0.3,0.1,0.02,0.56,0.01,0,1412,0.8,0.01,0.01,0,0,0.14,0,0.04,"JCPL",10442555,5150189,47823835,91506,63508085,"ETG",393685,347511,28206998,0,28948194,2332,1150,10679,20,2097,1851,150235,0,3751,15781,187896,"NJTPA","1961769.00","489525.00","115931.00","1139241.00","41813.00","222519.00","21562820.00","3720650.00","66035.00","146750.00","259050.00","634221.00","89787.00","30450111.00",1661,"4","0.0024",5,63,1,69,7760.62,983,603,0.61,82,7,"0.09"
"33","bergenfield borough","Bergen",2020,2.9,27375,0.55,0.08,0.26,0.1,0.27,9037,102724,0.06,0,25,287,322,9376,9037,0.96,0.69,0.32,0,193,262,138,579,686,1126,2978,1538,1876,6414,197,1339,460,239,293,434,0,0,0.84,0.1,0.03,0.03,0,0.01,14074,0.79,0.14,0,0,0,0.02,0,0.04,"PSEG",69714154,26155609,654325,1098076,97622164,"PSEG",6997191,2230575,64515,0,9292282,15567,5841,146,245,37268,11880,344,0,2584,75017,148892,"NJTPA","1543135.00","402517.00","256654.00","3934674.00","103619.00","802574.00","100760191.00","13413549.00","300168.00","343135.00","683589.00","1725422.00","202424.00","124471651.00",15318,"71","0.0046",12,358,4,374,3088.04,8243,331,0.04,321,38,"0.12"
"34","berkeley heights township","Union",2020,6.3,13321,0.84,0.02,0.11,0.03,0.06,4443,180729,0.01,0,9,545,144,4671,4443,0.95,0.96,0.04,0,94,192,570,247,532,1246,1368,199,223,4131,406,0,10,15,0,109,0,0,0.92,0.04,0.01,0.03,0,0,6486,0.79,0.09,0,0,0,0,0.01,0.11,"PSEG/JCPL",44540918,90142679,7154227,367785,142205609,"PSEG",4827906,3206770,244800,0,8279476,9946,20129,1598,82,25714,17080,1304,0,881,64235,140969,"NJTPA","7230294.00","1804191.00","427277.00","4198785.00","154106.00","820116.00","79471913.00","13712823.00","243377.00","540863.00","954756.00","2337483.00","330920.00","112226904.00",9120,"134","0.0147",5,46,3,54,2421.44,4619,80,0.02,141,14,"0.1"
"35","berkeley township","Ocean",2020,54.2,41963,0.9,0.02,0.03,0.05,0.09,20364,54244,0.07,1,36,138,239,24000,20364,0.85,0.87,0.13,0,550,1709,2920,7393,6569,2019,1734,366,740,22297,361,138,152,370,406,121,155,0,0.88,0.07,0.01,0.03,0,0,15638,0.9,0.01,0,0,0,0.01,0.02,0.05,"JCPL",163915258,56142119,15786684,1676507,237520568,"NJNG",2086597,333010,0,0,2419607,36602,12537,3525,374,11114,1774,0,0,5002,122401,193329,"NJTPA","15546922.00","3879457.00","918753.00","9028430.00","331366.00","1763452.00","170884307.00","29485970.00","523322.00","1162989.00","2052963.00","5026170.00","711561.00","241315662.00",31161,"98","0.0031",11,861,8,880,10106.22,22265,2867,0.13,242,16,"0.07"
