muni,county,year,resgas,commgas,indusgas,streetgas,totgas
Elizabeth city,Union,2015,22749020.00,21423757.00,656442.00,NDA,44829218.00
Elizabeth city,Union,2016,23607752.00,22588996.00,651116.00,NDA,46847864.00
Elizabeth city,Union,2017,24955509.00,23897970.00,682771.00,NDA,49536250.00
Elizabeth city,Union,2018,28248999.00,27318307.00,763007.00,NDA,56330313.00
Elizabeth city,Union,2019,26316253.00,25751678.00,755080.00,NDA,52823010.00
Elizabeth city,Union,2020,40212953.00,37242517.00,7068784.00,NDA,84524254.00
Elizabeth city,Union,2021,50556714.00,45110449.00,8809348.00,NDA,104476511.00
Elk township,Gloucester,2015,436213.00,802665.00,5749.00,NDA,1244627.00
Elk township,Gloucester,2016,408247.00,709884.00,4431.00,NDA,1122562.00
Elk township,Gloucester,2017,492931.00,741147.00,4528.00,NDA,1238606.00
Elk township,Gloucester,2018,630549.00,1008597.00,5364.00,NDA,1644510.00
Elk township,Gloucester,2019,624720.00,880011.00,5216.00,NDA,1509947.00
Elk township,Gloucester,2020,584325.00,951474.00,4486.00,NDA,1540285.00
Elk township,Gloucester,2021,641640.00,1136933.00,5156.00,NDA,1783728.00
Elmer borough,Salem,2015,323139.00,722749.00,17860.00,NDA,1063748.00
Elmer borough,Salem,2016,272149.00,639366.00,17046.00,NDA,928560.00
Elmer borough,Salem,2017,282261.00,668031.00,17265.00,NDA,967557.00
Elmer borough,Salem,2018,340360.00,726663.00,17139.00,NDA,1084161.00
Elmer borough,Salem,2019,314393.00,671319.00,17203.00,NDA,1002916.00
Elmer borough,Salem,2020,295435.00,673313.00,16034.00,NDA,984782.00
Elmer borough,Salem,2021,320982.00,766281.00,17030.00,NDA,1104293.00
Elmwood Park borough,Bergen,2015,5470553.00,17124673.00,382402.00,NDA,22977629.00
Elmwood Park borough,Bergen,2016,5000714.00,16789102.00,274582.00,NDA,22064398.00
Elmwood Park borough,Bergen,2017,5046926.00,14364413.00,329817.00,NDA,19741155.00
Elmwood Park borough,Bergen,2018,5668063.00,15997836.00,329708.00,NDA,21995607.00
Elmwood Park borough,Bergen,2019,5507736.00,8642390.00,249582.00,NDA,14399707.00
Elmwood Park borough,Bergen,2020,5062789.00,6748745.00,214669.00,NDA,12026203.00
Elmwood Park borough,Bergen,2021,5167061.00,10424717.00,238082.00,NDA,15829860.00
Elsinboro township,Salem,2015,NDA,NDA,NDA,NDA,0.00
Elsinboro township,Salem,2016,265.00,NDA,NDA,NDA,265.00
Elsinboro township,Salem,2017,289.00,NDA,NDA,NDA,289.00
Elsinboro township,Salem,2018,372.00,NDA,NDA,NDA,372.00
Elsinboro township,Salem,2019,342.00,NDA,NDA,NDA,342.00
Elsinboro township,Salem,2020,329.00,NDA,NDA,NDA,329.00
Elsinboro township,Salem,2021,345.00,NDA,NDA,NDA,345.00
Emerson borough,Bergen,2015,2895789.00,741634.00,12778.00,NDA,3650201.00
Emerson borough,Bergen,2016,2661079.00,661291.00,13101.00,NDA,3335472.00
Emerson borough,Bergen,2017,2622079.00,696538.00,10348.00,NDA,3328965.00
Emerson borough,Bergen,2018,2898444.00,774133.00,13895.00,NDA,3686473.00
Emerson borough,Bergen,2019,2802396.00,707116.00,12726.00,NDA,3522238.00
Emerson borough,Bergen,2020,2581162.00,592004.00,11434.00,NDA,3184600.00
Emerson borough,Bergen,2021,2676378.00,644376.00,12627.00,NDA,3333381.00
Englewood city,Bergen,2015,9477341.00,7988515.00,930856.00,NDA,18396712.00
Englewood city,Bergen,2016,8587684.00,7691800.00,849829.00,NDA,17129313.00
Englewood city,Bergen,2017,8757139.00,7787485.00,726302.00,NDA,17270927.00
Englewood city,Bergen,2018,9558849.00,8878964.00,730233.00,NDA,19168046.00
Englewood city,Bergen,2019,9363749.00,8651356.00,740529.00,NDA,18755634.00
Englewood city,Bergen,2020,8603392.00,7643060.00,646225.00,NDA,16892677.00
Englewood city,Bergen,2021,8965745.00,7989024.00,598471.00,NDA,17553240.00
Englewood Cliffs borough,Bergen,2015,3746577.00,1557296.00,22649.00,NDA,5326522.00
Englewood Cliffs borough,Bergen,2016,3316733.00,1253560.00,21954.00,NDA,4592247.00
Englewood Cliffs borough,Bergen,2017,3388794.00,1233804.00,23476.00,NDA,4646074.00
Englewood Cliffs borough,Bergen,2018,3865749.00,1434084.00,25410.00,NDA,5325242.00
Englewood Cliffs borough,Bergen,2019,3715423.00,1352620.00,23441.64,NDA,5091484.00
Englewood Cliffs borough,Bergen,2020,3417754.00,1269279.00,21100.00,NDA,4708133.00
Englewood Cliffs borough,Bergen,2021,3516558.00,1210683.00,22309.00,NDA,4749549.00
Englishtown borough,Monmouth,2015,705228.00,458639.00,CWC,NDA,1163867.00
Englishtown borough,Monmouth,2016,596718.00,394646.00,CWC,NDA,991364.00
Englishtown borough,Monmouth,2017,631935.00,436845.00,CWC,NDA,1068780.00
Englishtown borough,Monmouth,2018,714850.00,493042.00,CWC,NDA,1207892.00
Englishtown borough,Monmouth,2019,687987.00,473314.00,CWC,NDA,1161301.00
Englishtown borough,Monmouth,2020,670241.00,435711.00,CWC,NDA,1105952.00
Englishtown borough,Monmouth,2021,673213.00,436133.00,CWC,NDA,1109346.00
Essex Fells borough,Essex,2015,1727225.00,112500.00,NDA,NDA,1839725.00
Essex Fells borough,Essex,2016,1588447.00,96773.00,NDA,2493.00,1687713.00
Essex Fells borough,Essex,2017,1613013.00,103357.00,NDA,2062.00,1718432.00
Essex Fells borough,Essex,2018,1774795.00,110920.00,NDA,2939.00,1888654.00
Essex Fells borough,Essex,2019,1710023.00,99003.00,NDA,2288.00,1811314.00
Essex Fells borough,Essex,2020,1588449.00,91586.00,NDA,2493.00,1682528.00
Essex Fells borough,Essex,2021,1610375.00,106808.00,NDA,2500.00,1719684.00
Estell Manor city,Atlantic,2015,48231.00,7245.00,NDA,NDA,55476.00
Estell Manor city,Atlantic,2016,41867.00,4917.00,NDA,NDA,46784.00
Estell Manor city,Atlantic,2017,40080.00,5169.00,NDA,NDA,45250.00
Estell Manor city,Atlantic,2018,49440.00,8936.00,NDA,NDA,58376.00
Estell Manor city,Atlantic,2019,44594.00,23364.00,NDA,NDA,67958.00
Estell Manor city,Atlantic,2020,45540.00,19158.00,NDA,NDA,64698.00
Estell Manor city,Atlantic,2021,48841.00,17652.00,NDA,NDA,66493.00
Evesham township,Burlington,2015,12500106.00,4816524.00,8293.00,NDA,17324923.00
Evesham township,Burlington,2016,10516747.00,4022354.00,7301.00,NDA,14546402.00
Evesham township,Burlington,2017,10827188.00,4205833.00,7090.00,NDA,15040110.00
Evesham township,Burlington,2018,12405038.00,4955836.00,8115.00,NDA,17368988.00
Evesham township,Burlington,2019,11790084.00,4773912.00,6344.00,NDA,16570341.00
Evesham township,Burlington,2020,10907970.00,4149598.00,5520.00,NDA,15063088.00
Evesham township,Burlington,2021,11809690.00,4498518.00,6048.00,NDA,16314256.00
Ewing township,Mercer,2015,9349447.00,17393253.00,2134157.00,NDA,28876857.00
Ewing township,Mercer,2016,8562011.00,14634054.00,2012278.00,NDA,25208342.00
Ewing township,Mercer,2017,8801205.00,14807045.00,2058175.00,NDA,25666425.00
Ewing township,Mercer,2018,9436480.00,18233587.00,2039345.00,NDA,29709412.00
Ewing township,Mercer,2019,9259211.00,16422943.00,1872681.00,NDA,27554836.00
Ewing township,Mercer,2020,8601385.00,12521160.00,1886458.00,NDA,23009004.00
Ewing township,Mercer,2021,9048288.00,15299895.00,1582774.00,NDA,25930957.00
Fair Haven borough,Monmouth,2015,2405002.00,279813.00,CWC,NDA,2684815.00
Fair Haven borough,Monmouth,2016,2228599.00,257939.00,CWC,NDA,2486538.00
Fair Haven borough,Monmouth,2017,2260823.00,270858.00,CWC,NDA,2531681.00
Fair Haven borough,Monmouth,2018,2557392.00,308592.00,CWC,NDA,2865984.00
Fair Haven borough,Monmouth,2019,2467951.00,277300.00,CWC,NDA,2745251.00
Fair Haven borough,Monmouth,2020,2353221.00,224325.00,CWC,NDA,2577546.00
Fair Haven borough,Monmouth,2021,2399378.00,234137.00,CWC,NDA,2633515.00
Fair Lawn borough,Bergen,2015,11569662.00,3969979.00,3409209.00,NDA,18948849.00
Fair Lawn borough,Bergen,2016,10324410.00,3532720.00,3230805.00,NDA,17087935.00
Fair Lawn borough,Bergen,2017,10459750.00,3528317.00,3194930.00,NDA,17182997.00
Fair Lawn borough,Bergen,2018,11797032.00,4095929.00,3222347.00,NDA,19115308.00
Fair Lawn borough,Bergen,2019,11288570.00,3772747.00,3345145.00,NDA,18406461.00
Fair Lawn borough,Bergen,2020,10464974.00,3315624.00,3066846.00,NDA,16847444.00
Fair Lawn borough,Bergen,2021,10783606.00,3542511.00,2493934.00,NDA,16820051.00
Fairfield township (Cumberland),Cumberland,2015,411028.00,137599.00,NDA,NDA,548627.00
Fairfield township (Cumberland),Cumberland,2016,377331.00,125461.00,NDA,NDA,502792.00
Fairfield township (Cumberland),Cumberland,2017,363157.00,147407.00,NDA,NDA,510564.00
Fairfield township (Cumberland),Cumberland,2018,437904.00,161690.00,NDA,NDA,599594.00
Fairfield township (Cumberland),Cumberland,2019,411609.00,168338.00,NDA,NDA,579947.00
Fairfield township (Cumberland),Cumberland,2020,394346.00,146154.00,NDA,NDA,540500.00
Fairfield township (Cumberland),Cumberland,2021,453917.00,157397.00,NDA,NDA,611314.00
Fairfield township (Essex),Essex,2015,3464039.00,6786250.00,823181.00,NDA,11073470.00
Fairfield township (Essex),Essex,2016,2980125.00,6085668.00,623220.00,NDA,9689014.00
Fairfield township (Essex),Essex,2017,3294157.00,6407624.00,736098.00,NDA,10437878.00
Fairfield township (Essex),Essex,2018,3600965.00,7137640.00,905507.00,NDA,11644111.00
Fairfield township (Essex),Essex,2019,3592787.00,7105376.00,823337.00,NDA,11521500.00
Fairfield township (Essex),Essex,2020,3237974.00,6040845.00,680363.00,NDA,9959182.00
Fairfield township (Essex),Essex,2021,3319558.00,6443943.00,676816.00,NDA,10440318.00
Fairview borough,Bergen,2015,2958036.00,2018595.00,273245.00,NDA,5249876.00
Fairview borough,Bergen,2016,2739054.00,1834935.00,236332.00,NDA,4810321.00
Fairview borough,Bergen,2017,2796132.00,1916612.00,187703.00,NDA,4900447.00
Fairview borough,Bergen,2018,3113751.00,2215347.00,201303.00,NDA,5530400.00
Fairview borough,Bergen,2019,3014850.00,2054820.00,170766.00,NDA,5240436.00
Fairview borough,Bergen,2020,2811098.00,1838580.00,141729.00,NDA,4791408.00
Fairview borough,Bergen,2021,2877384.00,1909186.00,135375.00,NDA,4921946.00
Fanwood borough,Union,2015,2163820.00,237720.00,NDA,NDA,2401540.00
Fanwood borough,Union,2016,2199532.00,235130.00,NDA,NDA,2434662.00
Fanwood borough,Union,2017,2323399.00,254992.00,NDA,NDA,2578391.00
Fanwood borough,Union,2018,2633326.00,274093.00,NDA,NDA,2907419.00
Fanwood borough,Union,2019,2530078.00,268361.00,NDA,NDA,2798439.00
Fanwood borough,Union,2020,3351781.00,335679.00,NDA,NDA,3687459.00
Fanwood borough,Union,2021,4811173.00,525569.00,NDA,NDA,5336742.00
Far Hills borough,Somerset,2015,481897.00,84705.00,NDA,NDA,566601.00
Far Hills borough,Somerset,2016,424411.00,76479.00,NDA,NDA,500889.00
Far Hills borough,Somerset,2017,455291.00,70926.00,NDA,NDA,526217.00
Far Hills borough,Somerset,2018,528727.00,82308.00,NDA,NDA,611034.00
Far Hills borough,Somerset,2019,467476.00,75845.00,NDA,NDA,543321.00
Far Hills borough,Somerset,2020,468253.00,64777.00,NDA,NDA,533030.00
Far Hills borough,Somerset,2021,486166.00,70275.00,NDA,NDA,556441.00
Farmingdale borough,Monmouth,2015,436032.00,245295.00,CWC,NDA,681327.00
Farmingdale borough,Monmouth,2016,368884.00,208376.00,CWC,NDA,577260.00
Farmingdale borough,Monmouth,2017,399839.00,243078.00,CWC,NDA,642917.00
Farmingdale borough,Monmouth,2018,451940.00,253982.00,CWC,NDA,705922.00
Farmingdale borough,Monmouth,2019,439038.00,237691.00,CWC,NDA,676729.00
Farmingdale borough,Monmouth,2020,402120.00,210194.00,CWC,NDA,612314.00
Farmingdale borough,Monmouth,2021,419500.00,224321.00,CWC,NDA,643821.00
Fieldsboro borough,Burlington,2015,157918.00,38319.00,1298169.00,NDA,1494405.00
Fieldsboro borough,Burlington,2016,140429.00,35652.00,1260885.00,NDA,1436966.00
Fieldsboro borough,Burlington,2017,142366.00,35480.00,1316085.00,NDA,1493931.00
Fieldsboro borough,Burlington,2018,168092.00,35559.00,1470493.00,NDA,1674145.00
Fieldsboro borough,Burlington,2019,163435.00,31777.00,1369041.00,NDA,1564253.00
Fieldsboro borough,Burlington,2020,142258.00,30026.00,1424236.00,NDA,1596520.00
Fieldsboro borough,Burlington,2021,155420.00,29841.00,1280130.00,NDA,1465390.00
Flemington borough,Hunterdon,2015,796321.00,1073362.00,NDA,NDA,1869683.00
Flemington borough,Hunterdon,2016,861712.00,1129042.00,NDA,NDA,1990754.00
Flemington borough,Hunterdon,2017,897343.00,1285549.00,NDA,NDA,2182892.00
Flemington borough,Hunterdon,2018,1037363.00,1767467.00,NDA,NDA,2804829.00
Flemington borough,Hunterdon,2019,967535.00,1578299.00,NDA,NDA,2545834.00
Flemington borough,Hunterdon,2020,1472348.00,2129042.00,4598507.00,NDA,8199897.00
Flemington borough,Hunterdon,2021,1932896.00,2975035.00,5409998.00,NDA,10317929.00
Florence township,Burlington,2015,3452330.00,2232758.00,255347.00,NDA,5940434.00
Florence township,Burlington,2016,2859097.00,1942101.00,238833.00,NDA,5040030.00
Florence township,Burlington,2017,3018289.00,2042183.00,222481.00,NDA,5282953.00
Florence township,Burlington,2018,3498693.00,2466148.00,228449.00,NDA,6193290.00
Florence township,Burlington,2019,3230579.00,2281945.00,480430.00,NDA,5992954.00
Florence township,Burlington,2020,2967692.00,1996528.00,156270.00,NDA,5120490.00
Florence township,Burlington,2021,3230421.00,2399672.00,261074.00,NDA,5891167.00
Florham Park borough,Morris,2015,4708390.00,2125350.00,960818.00,NDA,7794559.00
Florham Park borough,Morris,2016,NDA,NDA,NDA,NDA,0.00
Florham Park borough,Morris,2017,4341758.00,2333769.00,852890.00,NDA,7528417.00
Florham Park borough,Morris,2018,4894444.00,2584383.00,863321.00,NDA,8342148.00
Florham Park borough,Morris,2019,4758847.00,2548052.00,843069.00,NDA,8149968.00
Florham Park borough,Morris,2020,4430454.00,2146577.00,561434.00,NDA,7138464.00
Florham Park borough,Morris,2021,4729204.00,2387528.00,685812.00,NDA,7802544.00
Folsom borough,Atlantic,2015,256520.00,397600.00,344070.00,NDA,998191.00
Folsom borough,Atlantic,2016,231582.00,488379.00,384276.00,NDA,1104237.00
Folsom borough,Atlantic,2017,228838.00,515775.00,392350.00,NDA,1136963.00
Folsom borough,Atlantic,2018,309990.00,492095.00,332777.00,NDA,1134862.00
Folsom borough,Atlantic,2019,306657.00,456549.00,391401.00,NDA,1154607.00
Folsom borough,Atlantic,2020,296220.00,442381.00,392770.00,NDA,1131371.00
Folsom borough,Atlantic,2021,310659.00,478117.00,440228.00,NDA,1229003.00
Fort Lee borough,Bergen,2015,6233738.00,9494185.00,176580.00,NDA,15904503.00
Fort Lee borough,Bergen,2016,5702254.00,8992538.00,167219.00,NDA,14862012.00
Fort Lee borough,Bergen,2017,5844075.00,10081210.00,176803.00,NDA,16102088.00
Fort Lee borough,Bergen,2018,6524594.00,11303290.00,170866.00,NDA,17998749.00
Fort Lee borough,Bergen,2019,6327608.00,11235270.00,123924.00,NDA,17686803.00
Fort Lee borough,Bergen,2020,5751407.00,10780151.00,108459.00,NDA,16640016.00
Fort Lee borough,Bergen,2021,6053359.00,8915752.00,115561.00,NDA,15084673.00
Frankford township,Sussex,2015,68605.00,241422.00,NDA,NDA,310028.00
Frankford township,Sussex,2016,72363.00,248213.00,NDA,NDA,320576.00
Frankford township,Sussex,2017,127778.00,290458.00,NDA,NDA,418237.00
Frankford township,Sussex,2018,198925.00,437792.00,NDA,NDA,636717.00
Frankford township,Sussex,2019,207986.00,538562.00,NDA,NDA,746548.00
Frankford township,Sussex,2020,303672.00,721246.00,NDA,NDA,1024918.00
Frankford township,Sussex,2021,441741.00,980308.00,NDA,NDA,1422049.00
Franklin borough,Sussex,2015,143320.00,309572.00,NDA,NDA,452892.00
Franklin borough,Sussex,2016,148901.00,318957.00,NDA,NDA,467858.00
Franklin borough,Sussex,2017,162906.00,370538.00,NDA,NDA,533444.00
Franklin borough,Sussex,2018,185272.00,406867.00,NDA,NDA,592138.00
Franklin borough,Sussex,2019,192234.00,427910.00,NDA,NDA,620143.00
Franklin borough,Sussex,2020,309015.00,644275.00,NDA,NDA,953290.00
Franklin borough,Sussex,2021,339442.00,749801.00,NDA,NDA,1089243.00
Franklin Lakes borough,Bergen,2015,9041408.00,1775803.00,10785.00,NDA,10827996.00
Franklin Lakes borough,Bergen,2016,7616516.00,1467869.00,8572.00,NDA,9092957.00
Franklin Lakes borough,Bergen,2017,8314670.00,1634224.00,9699.00,NDA,9958593.00
Franklin Lakes borough,Bergen,2018,9059082.00,1819456.00,11313.00,NDA,10889851.00
Franklin Lakes borough,Bergen,2019,8950817.00,1731571.00,10417.00,NDA,10692805.00
Franklin Lakes borough,Bergen,2020,8598490.00,1429802.00,8167.00,NDA,10036459.00
Franklin Lakes borough,Bergen,2021,9001168.00,1553066.00,7070.00,NDA,10561304.00
Franklin township (Gloucester),Gloucester,2015,2284473.00,1179095.00,624.00,NDA,3464192.00
Franklin township (Gloucester),Gloucester,2016,2076323.00,1053927.00,507.00,NDA,3130757.00
Franklin township (Gloucester),Gloucester,2017,2253175.00,1011863.00,178.00,NDA,3265217.00
Franklin township (Gloucester),Gloucester,2018,2769189.00,1162658.00,NDA,NDA,3931847.00
Franklin township (Gloucester),Gloucester,2019,2575626.00,1054507.00,NDA,NDA,3630133.00
Franklin township (Gloucester),Gloucester,2020,2468057.00,998302.00,NDA,NDA,3466359.00
Franklin township (Gloucester),Gloucester,2021,2730806.00,1084961.00,NDA,NDA,3815767.00
Franklin township (Hunterdon),Hunterdon,2015,36511.00,175797.00,NDA,NDA,212308.00
Franklin township (Hunterdon),Hunterdon,2016,38276.00,180399.00,NDA,NDA,218675.00
Franklin township (Hunterdon),Hunterdon,2017,39258.00,182182.00,NDA,NDA,221439.00
Franklin township (Hunterdon),Hunterdon,2018,46823.00,200835.00,NDA,NDA,247658.00
Franklin township (Hunterdon),Hunterdon,2019,46426.00,196511.00,NDA,NDA,242937.00
Franklin township (Hunterdon),Hunterdon,2020,70858.00,291390.00,NDA,NDA,362249.00
Franklin township (Hunterdon),Hunterdon,2021,94368.00,358272.00,NDA,NDA,452641.00
Franklin township (Somerset),Somerset,2015,20288012.00,13932354.00,1774371.00,NDA,35994737.00
Franklin township (Somerset),Somerset,2016,17762258.00,12237131.00,1656517.00,NDA,31655905.00
Franklin township (Somerset),Somerset,2017,18646131.00,13072782.00,1793284.00,NDA,33512197.00
Franklin township (Somerset),Somerset,2018,20025249.00,13569471.00,2445750.00,NDA,36040470.00
Franklin township (Somerset),Somerset,2019,20044588.00,13765079.00,2708804.00,NDA,36518470.00
Franklin township (Somerset),Somerset,2020,18463989.00,12815302.00,2207741.00,NDA,33487032.00
Franklin township (Somerset),Somerset,2021,19745217.00,13578098.00,2124346.00,NDA,35447661.00
Franklin township (Warren),Warren,2015,143320.00,309572.00,NDA,NDA,452892.00
Franklin township (Warren),Warren,2016,148901.00,318957.00,NDA,NDA,467858.00
Franklin township (Warren),Warren,2017,162906.00,370538.00,NDA,NDA,533444.00
Franklin township (Warren),Warren,2018,185272.00,406867.00,NDA,NDA,592138.00
Franklin township (Warren),Warren,2019,553847.00,350659.00,NDA,NDA,904505.00
Franklin township (Warren),Warren,2020,749063.00,473072.00,NDA,NDA,1222135.00
Franklin township (Warren),Warren,2021,1064084.00,610279.00,NDA,NDA,1674363.00
Fredon township,Sussex,2015,77919.00,27677.00,NDA,NDA,105596.00
Fredon township,Sussex,2016,79615.00,27766.00,NDA,NDA,107382.00
Fredon township,Sussex,2017,88257.00,33411.00,NDA,NDA,121667.00
Fredon township,Sussex,2018,100233.00,46466.00,NDA,NDA,146699.00
Fredon township,Sussex,2019,96320.00,45555.00,NDA,NDA,141875.00
Fredon township,Sussex,2020,127633.00,86655.00,NDA,NDA,214288.00
Fredon township,Sussex,2021,181081.00,120770.00,NDA,NDA,301851.00
Freehold borough,Monmouth,2015,2712823.00,7586485.00,CWC,NDA,10299308.00
Freehold borough,Monmouth,2016,2217790.00,10951100.00,CWC,NDA,13168890.00
Freehold borough,Monmouth,2017,2292731.00,10526819.00,CWC,NDA,12819550.00
Freehold borough,Monmouth,2018,2947733.00,9353413.00,CWC,NDA,12301146.00
Freehold borough,Monmouth,2019,2654494.00,8772113.00,CWC,NDA,11426607.00
Freehold borough,Monmouth,2020,2688144.00,9070223.00,CWC,NDA,11758367.00
Freehold borough,Monmouth,2021,2454557.00,8944963.00,CWC,NDA,11399520.00
Freehold township,Monmouth,2015,10981187.00,5233891.00,CWC,NDA,16215078.00
Freehold township,Monmouth,2016,9858987.00,6687809.00,CWC,NDA,16546796.00
Freehold township,Monmouth,2017,10031841.00,5824036.00,CWC,NDA,15855877.00
Freehold township,Monmouth,2018,11879251.00,6560143.00,CWC,NDA,18439394.00
Freehold township,Monmouth,2019,11187226.00,6144958.00,CWC,NDA,17332184.00
Freehold township,Monmouth,2020,10893370.00,5486694.00,CWC,NDA,16380064.00
Freehold township,Monmouth,2021,10893050.00,5727078.00,CWC,NDA,16620128.00
Frelinghuysen township,Warren,2015,NDA,NDA,NDA,NDA,0.00
Frelinghuysen township,Warren,2016,NDA,NDA,NDA,NDA,0.00
Frelinghuysen township,Warren,2017,NDA,NDA,NDA,NDA,0.00
Frelinghuysen township,Warren,2018,NDA,NDA,NDA,NDA,0.00
Frelinghuysen township,Warren,2019,NDA,NDA,NDA,NDA,0.00
Frelinghuysen township,Warren,2020,NDA,NDA,NDA,NDA,0.00
Frelinghuysen township,Warren,2021,NDA,NDA,NDA,NDA,0.00
Frenchtown borough,Hunterdon,2015,108000.00,62668.00,NDA,NDA,170668.00
Frenchtown borough,Hunterdon,2016,114420.00,69607.00,NDA,NDA,184027.00
Frenchtown borough,Hunterdon,2017,133916.00,114253.00,NDA,NDA,248170.00
Frenchtown borough,Hunterdon,2018,162817.00,95358.00,NDA,NDA,258175.00
Frenchtown borough,Hunterdon,2019,162134.00,90108.00,NDA,NDA,252241.00
Frenchtown borough,Hunterdon,2020,273677.00,132226.00,NDA,NDA,405903.00
Frenchtown borough,Hunterdon,2021,371409.00,197039.00,NDA,NDA,568447.00
Galloway township,Atlantic,2015,9420115.00,29440608.00,8942.00,NDA,38869665.00
Galloway township,Atlantic,2016,8246676.00,32352523.00,4873.00,NDA,40604071.00
Galloway township,Atlantic,2017,8063774.00,35584029.00,6804.00,NDA,43654607.00
Galloway township,Atlantic,2018,9596138.00,41453213.00,8546.00,NDA,51057896.00
Galloway township,Atlantic,2019,9024699.00,44923874.00,6510.00,NDA,53955083.00
Galloway township,Atlantic,2020,8469351.00,43365099.00,6141.00,NDA,51840591.00
Galloway township,Atlantic,2021,8659515.00,45423933.00,6023.00,NDA,54089470.00
Garfield city,Bergen,2015,8069022.00,3500263.00,192921.00,NDA,11762206.00
Garfield city,Bergen,2016,7387202.00,3081622.00,195987.00,NDA,10664811.00
Garfield city,Bergen,2017,7654255.00,3258280.00,196918.00,NDA,11109453.00
Garfield city,Bergen,2018,8361707.00,3620633.00,242297.00,NDA,12224637.00
Garfield city,Bergen,2019,8147206.00,3399296.00,222501.00,NDA,11769003.00
Garfield city,Bergen,2020,7481107.00,2992100.00,187848.00,NDA,10661056.00
Garfield city,Bergen,2021,7749498.00,3094070.00,198539.00,NDA,11042107.00
Garwood borough,Union,2015,1157604.00,684803.00,NDA,NDA,1842406.00
Garwood borough,Union,2016,1169063.00,688648.00,NDA,NDA,1857711.00
Garwood borough,Union,2017,1247689.00,744351.00,NDA,NDA,1992040.00
Garwood borough,Union,2018,1414716.00,829796.00,NDA,NDA,2244512.00
Garwood borough,Union,2019,1344387.00,777739.00,NDA,NDA,2122127.00
Garwood borough,Union,2020,1801131.00,971092.00,NDA,NDA,2772223.00
Garwood borough,Union,2021,2547941.00,1419545.00,NDA,NDA,3967486.00
Gibbsboro borough,Camden,2015,745460.00,1248862.00,5397.00,NDA,1999719.00
Gibbsboro borough,Camden,2016,602360.00,1074255.00,3571.00,NDA,1680186.00
Gibbsboro borough,Camden,2017,632483.00,876793.00,3544.00,NDA,1512820.00
Gibbsboro borough,Camden,2018,741251.00,558366.00,3256.00,NDA,1302873.00
Gibbsboro borough,Camden,2019,682109.00,1129378.00,1703.00,NDA,1813190.00
Gibbsboro borough,Camden,2020,640332.00,978237.00,591.00,NDA,1619160.00
Gibbsboro borough,Camden,2021,689756.00,1198153.00,1039.00,NDA,1888947.00
Glassboro borough,Gloucester,2015,4306391.00,11003638.00,2913787.00,NDA,18223816.00
Glassboro borough,Gloucester,2016,3731614.00,10447906.00,2647796.00,NDA,16827316.00
Glassboro borough,Gloucester,2017,3729800.00,10370762.00,3117979.00,NDA,17218540.00
Glassboro borough,Gloucester,2018,4518247.00,12412624.00,2123051.00,NDA,19053921.00
Glassboro borough,Gloucester,2019,4108255.00,11069245.00,3713966.00,NDA,18891466.00
Glassboro borough,Gloucester,2020,3874753.00,10736606.00,1256233.00,NDA,15867593.00
Glassboro borough,Gloucester,2021,4058806.00,11725769.00,1043156.00,NDA,16827732.00
Glen Gardner borough,Hunterdon,2015,335456.00,28193.00,NDA,NDA,363649.00
Glen Gardner borough,Hunterdon,2016,344926.00,29419.00,NDA,NDA,374345.00
Glen Gardner borough,Hunterdon,2017,362769.00,31485.00,NDA,NDA,394254.00
Glen Gardner borough,Hunterdon,2018,404785.00,48813.00,NDA,NDA,453598.00
Glen Gardner borough,Hunterdon,2019,382837.00,30743.00,NDA,NDA,413580.00
Glen Gardner borough,Hunterdon,2020,602414.00,34888.00,NDA,NDA,637302.00
Glen Gardner borough,Hunterdon,2021,754198.00,51932.00,NDA,NDA,806130.00
Glen Ridge borough,Essex,2015,3554908.00,1516095.00,814.00,NDA,5071818.00
Glen Ridge borough,Essex,2016,3127350.00,1310190.00,827.00,171830.00,4610197.00
Glen Ridge borough,Essex,2017,3210888.00,1276493.00,794.00,168525.00,4656701.00
Glen Ridge borough,Essex,2018,3671499.00,1616665.00,927.00,172302.00,5461393.00
Glen Ridge borough,Essex,2019,3318234.00,1447237.00,889.00,156252.00,4922612.00
Glen Ridge borough,Essex,2020,3207202.00,1221132.00,844.00,187408.00,4616585.00
Glen Ridge borough,Essex,2021,3380395.00,1269377.00,922.00,157668.00,4808362.00
Glen Rock borough,Bergen,2015,5444279.00,1097273.00,32151.00,NDA,6573704.00
Glen Rock borough,Bergen,2016,4699125.00,979482.00,28144.00,NDA,5706751.00
Glen Rock borough,Bergen,2017,4897744.00,993827.00,26049.00,NDA,5917620.00
Glen Rock borough,Bergen,2018,5616621.00,1082108.00,31888.00,NDA,6730618.00
Glen Rock borough,Bergen,2019,5289598.00,1114114.00,28064.00,NDA,6431775.00
Glen Rock borough,Bergen,2020,4836899.00,980658.00,32653.00,NDA,5850210.00
Glen Rock borough,Bergen,2021,5108800.00,1031646.00,27489.00,NDA,6167935.00
Gloucester City city,Camden,2015,2712389.00,1526306.00,29110.00,NDA,4267805.00
Gloucester City city,Camden,2016,2523781.00,1451014.00,23021.00,NDA,3997816.00
Gloucester City city,Camden,2017,2477959.00,1697278.00,35001.00,NDA,4210237.00
Gloucester City city,Camden,2018,2867094.00,1945727.00,42719.00,NDA,4855540.00
