muni,county,year,elecutil,reselec,commelec,induselec,streetelec,totelec,gasutil
Alloway township,Salem,2018,ACE,11947390.00,3053965.00,NDA,90754.00,15092109.00,SJG
Alloway township,Salem,2019,ACE,11273602.00,2935467.00,NDA,92865.00,14301934.00,SJG
Alloway township,Salem,2020,ACE,11262278.00,2651070.00,NDA,92839.00,14006187.00,SJG
Alloway township,Salem,2021,ACE,11257923.00,2851168.00,NDA,92818.00,14201909.00,SJG
Alpha borough,Warren,2015,JCPL,8296432.00,17083520.00,2066974.00,48480.00,27495406.00,ETG
Alpha borough,Warren,2016,JCPL,NDA,NDA,NDA,NDA,NDA,ETG
Alpha borough,Warren,2017,JCPL,NDA,NDA,NDA,NDA,NDA,ETG
Alpha borough,Warren,2018,JCPL,8530872.00,18065087.00,1976212.00,48480.00,28620651.00,ETG
Alpha borough,Warren,2019,JCPL,8113548.00,18047661.00,1845661.00,48480.00,28055350.00,ETG
Alpha borough,Warren,2020,JCPL,8418490.00,17536593.00,1589815.00,48480.00,27593378.00,ETG
Alpha borough,Warren,2021,JCPL,8601564.00,19164847.00,1550431.00,48480.00,29365322.00,ETG
Alpine borough,Bergen,2015,RECO,20969468.00,NDA,NDA,NDA,20969468.00,PSEG
Alpine borough,Bergen,2016,RECO,20337317.00,NDA,NDA,NDA,20337317.00,PSEG
Alpine borough,Bergen,2017,RECO,19628991.00,NDA,NDA,NDA,19628991.00,PSEG
Alpine borough,Bergen,2018,RECO,20622830.00,5227508.00,NDA,43126.00,25893464.00,PSEG
Alpine borough,Bergen,2019,RECO,19779472.00,5122068.00,NDA,42872.00,24944412.00,PSEG
Alpine borough,Bergen,2020,RECO,20250252.00,5072901.00,NDA,43235.00,25366388.00,PSEG
Alpine borough,Bergen,2021,RECO,20207219.00,5349174.00,NDA,43111.00,25599504.00,PSEG
Andover borough,Sussex,2015,JCPL,3079803.00,2656220.00,71232.00,37622.00,5844877.00,ETG
Andover borough,Sussex,2016,JCPL,NDA,NDA,NDA,NDA,NDA,ETG
Andover borough,Sussex,2017,JCPL,NDA,NDA,NDA,NDA,NDA,ETG
Andover borough,Sussex,2018,JCPL,3009104.00,2716507.00,67686.00,34728.00,5828025.00,ETG
Andover borough,Sussex,2019,JCPL,3083341.00,2734805.00,46176.00,34728.00,5899050.00,ETG
Andover borough,Sussex,2020,JCPL,3151387.00,2425221.00,50256.00,34728.00,5661592.00,ETG
Andover borough,Sussex,2021,JCPL,3231995.00,2503685.00,55657.00,34728.00,5826065.00,ETG
Andover township,Sussex,2015,JCPL,26779192.00,13447889.00,896056.00,51696.00,41174833.00,ETG
Andover township,Sussex,2016,JCPL,NDA,NDA,NDA,NDA,NDA,ETG
Andover township,Sussex,2017,JCPL,NDA,NDA,NDA,NDA,NDA,ETG
Andover township,Sussex,2018,JCPL,26782568.00,12837810.00,993525.00,51696.00,40665599.00,ETG
Andover township,Sussex,2019,JCPL,26121779.00,12782914.00,974490.00,51696.00,39930879.00,ETG
Andover township,Sussex,2020,JCPL,26313608.00,11428444.00,908911.00,51696.00,38702659.00,ETG
Andover township,Sussex,2021,JCPL,27337283.00,12433984.00,949638.00,51696.00,40772601.00,ETG
Asbury Park city,Monmouth,2015,JCPL,35569874.00,58099338.00,3055600.00,1302249.00,98027061.00,NJNG
Asbury Park city,Monmouth,2016,JCPL,NDA,NDA,NDA,NDA,NDA,NJNG
Asbury Park city,Monmouth,2017,JCPL,NDA,NDA,NDA,NDA,NDA,NJNG
Asbury Park city,Monmouth,2018,JCPL,36249006.00,61906559.00,2679920.00,1299202.00,102134687.00,NJNG
Asbury Park city,Monmouth,2019,JCPL,35748039.00,61966776.00,2214400.00,1298111.00,101227326.00,NJNG
Asbury Park city,Monmouth,2020,JCPL,37662168.00,57813691.00,2333920.00,1295740.00,99105519.00,NJNG
Asbury Park city,Monmouth,2021,JCPL,39173387.00,58129401.00,2705520.00,1293319.00,101301627.00,NJNG
Atlantic City city,Atlantic,2015,ACE,86034398.00,851647921.00,37492.00,7366658.00,945086469.00,SJG
Atlantic City city,Atlantic,2016,ACE,82893821.00,808899651.00,32989.00,7245867.00,899072328.00,SJG
Atlantic City city,Atlantic,2017,ACE,78345565.00,769716943.00,18211.00,7309299.00,855390018.00,SJG
Atlantic City city,Atlantic,2018,ACE,84301307.00,832734057.00,6490.00,7313138.00,924354992.00,SJG
Atlantic City city,Atlantic,2019,ACE,81804631.00,846179508.00,5032.00,7342690.00,935331861.00,SJG
Atlantic City city,Atlantic,2020,ACE,84330462.00,684943780.00,4645.00,7297077.00,776575964.00,SJG
Atlantic City city,Atlantic,2021,ACE,85512179.00,925453428.00,4500.00,7271156.00,1018241263.00,SJG
